Isotope	imp	pid
166Gd	539	760
167Gd	436	585
168Gd	1093	1343
169Gd	1512	1840
170Gd	539	729
171Gd	108	155
163Eu	1855	3060
164Eu	1990	3352
165Eu	3995	4994
166Eu	10169	11655
167Eu	4215	4899
168Eu	815	1025
169Eu	106	155
160Sm	1614	3977
161Sm	3436	7248
162Sm	7631	11287
163Sm	25742	30066
164Sm	20854	24144
165Sm	4334	5195
166Sm	924	1196
158Pm	1868	6476
159Pm	2549	5789
160Pm	14915	29497
161Pm	43805	58691
162Pm	22942	28231
163Pm	5456	6522
164Pm	823	1043
156Nd	1593	6755
157Nd	2391	6114
158Nd	5626	20146
159Nd	12002	25913
160Nd	11079	17388
161Nd	3056	4256
155Pr	1684	6654
156Pr	1223	3572
157Pr	2679	21269
158Pr	6452	13856
159Pr	2446	4379
