Isotope	imp	pid
166Gd	393	489
167Gd	212	259
168Gd	594	702
169Gd	737	933
170Gd	271	386
171Gd	49	73
163Eu	1509	1952
164Eu	1501	1982
165Eu	1930	2303
166Eu	5279	6083
167Eu	2308	2695
168Eu	414	534
169Eu	46	72
160Sm	1278	2055
161Sm	2727	4047
162Sm	2167	3147
163Sm	3954	4748
164Sm	8572	9825
165Sm	2293	2713
166Sm	438	595
158Pm	1183	1896
159Pm	1630	2518
160Pm	1546	2542
161Pm	2163	2857
162Pm	5937	7036
163Pm	2469	2881
164Pm	336	433
156Nd	475	1048
157Nd	1125	1739
158Nd	1231	1964
159Nd	411	726
160Nd	1261	2070
161Nd	1021	1388
155Pr	315	658
156Pr	332	521
157Pr	272	422
158Pr	1841	2725
159Pr	489	852
